id,name,price
37,"Anthem, MCA 225",1800.38
38,"Anthem, MCA 525",2670.89
56,"AudioSource, AMP100VS",122.41
67,"Behringer, NX3000D",246.4
109,"Bryston, 4B³",3560.72
115,"Cambridge Audio, Azur 851W",2100.79
129,"Crown, XLS 1002",252.65
199,"Dayton Audio, APA150",174.69
341,"Emotiva, XPA-2 Gen3",680.33
342,"Emotiva, XPA-3 Gen3",810.38
343,"Emotiva, XPA-5 Gen3",1275.72
525,"Heco, Smart Amp 100",172.22
526,"Heco, Smart Amp 50",126.19
936,"Magnat, MA 600",738.18
937,"Magnat, MA 700",788.86
963,"Marantz, HD-AMP1",1290.4
964,"Marantz, MM7025",880.27
965,"Marantz, MM7055",1080.03
966,"Marantz, MM8077",1800.54
1019,"NAD, C 275BEE",1275.96
1020,"NAD, CI 980",672.69
1027,"Nobsound, NS-10G",83.33
1056,"Onkyo, M-5010",340.88
1070,"Parasound, 2125v2",810.16
1071,"Parasound, Halo A 23+",1720.03
1174,"Pioneer, GM-D8704",204.83
1175,"Pioneer, GM-D9705",339.87
1306,"Rotel, RB-1590",2490.42
1307,"Rotel, RB-1552 MkII",1170.05
1308,"SMSL, SA-36A Pro",59.71
1668,"Yamaha, MX-A5200BL",2400.26
1669,"Yamaha, P2500S",491.46
1670,"Yamaha, P3500S",680.04
1671,"Yamaha, PX3",352.94
1672,"Yamaha, XMV4140",1350.63
