2024-03-01,90.8423,Доллар США
2024-03-02,91.3336,Доллар США
2024-03-03,91.3336,Доллар США
2024-03-04,91.3336,Доллар США
2024-03-05,91.3534,Доллар США
2024-03-06,91.1604,Доллар США
2024-03-07,90.3412,Доллар США
2024-03-08,90.7493,Доллар США
2024-03-09,90.7493,Доллар США
2024-03-10,90.7493,Доллар США
2024-03-11,90.7493,Доллар США
2024-03-12,90.6252,Доллар США
2024-03-13,90.8818,Доллар США
2024-03-14,91.5449,Доллар США
2024-03-15,91.6359,Доллар США
2024-03-16,91.87,Доллар США
2024-03-17,91.87,Доллар США
2024-03-18,91.87,Доллар США
2024-03-19,91.9829,Доллар США
2024-03-20,92.2243,Доллар США
2024-03-21,92.6861,Доллар США
2024-03-22,91.9499,Доллар США
2024-03-23,92.6118,Доллар США
2024-03-24,92.6118,Доллар США
2024-03-25,92.6118,Доллар США
2024-03-26,92.7761,Доллар США
2024-03-27,92.5745,Доллар США
2024-03-28,92.5919,Доллар США
2024-03-29,92.2628,Доллар США
2024-03-30,92.366,Доллар США
2024-03-31,92.366,Доллар США
