order_id,product_id,quantity
JCCF-42586152,756,40
JCCF-42586152,303,12
JCCF-42586152,758,26
JCCF-42586152,1520,10
JCCF-42586152,381,30
JCCF-42586152,1590,34
JCCF-42586152,894,17
JCCF-42586152,1496,4
RIFM-19612538,1428,22
RIFM-19612538,666,8
RIFM-19612538,495,17
RIFM-19612538,1315,38
RIFM-19612538,1466,20
RIFM-19612538,428,42
RIFM-19612538,1667,32
RIFM-19612538,508,20
RIFM-19612538,781,12
RIFM-19612538,870,8
RIFM-19612538,1002,11
RIFM-19612538,750,22
RIFM-19612538,601,20
RIFM-19612538,1099,19
RIFM-19612538,1062,8
RIFM-19612538,625,38
RIFM-19612538,635,18
RIFM-19612538,783,11
RIFM-19612538,323,18
