order_id,product_id,quantity
YSME-13230307,202,22
YSME-13230307,1674,22
YSME-13230307,1214,19
YSME-13230307,180,18
YSME-13230307,1420,42
YSME-13230307,1423,10
YSME-13230307,1227,4
YSME-13230307,168,22
YSME-13230307,320,24
YSME-13230307,1436,44
YSME-13230307,935,28
YSME-13230307,451,9
MBPC-08622706,512,11
MBPC-08622706,1102,16
MBPC-08622706,649,13
MBPC-08622706,686,16
MBPC-08622706,1445,9
MBPC-08622706,352,13
MBPC-08622706,197,10
MBPC-08622706,1563,16
MBPC-08622706,1335,12
MBPC-08622706,405,15
MBPC-08622706,1172,20
MBPC-08622706,1583,4
MBPC-08622706,1399,22
MBPC-08622706,1489,9
MBPC-08622706,821,28
MBPC-08622706,1049,19
MBPC-08622706,1187,14
MBPC-08622706,1594,22
MBPC-08622706,1585,4
MBPC-08622706,53,22
BPXU-92126169,294,19
BPXU-92126169,1062,4
BPXU-92126169,504,38
BPXU-92126169,800,13
BPXU-92126169,897,12
BPXU-92126169,189,24
BPXU-92126169,615,12
BPXU-92126169,798,13
BPXU-92126169,756,32
BPXU-92126169,1604,3
BPXU-92126169,353,10
BPXU-92126169,268,16
BPXU-92126169,1188,18
BPXU-92126169,1309,4
BPXU-92126169,985,19
BPXU-92126169,600,17
BPXU-92126169,277,20
BPXU-92126169,1072,10
