order_id,product_id,quantity
IDDP-77232967,403,15
IDDP-77232967,1219,44
IDDP-77232967,500,14
IDDP-77232967,1542,14
IDDP-77232967,490,12
IDDP-77232967,1659,30
IDDP-77232967,486,17
IDDP-77232967,906,16
IDDP-77232967,975,16
IDDP-77232967,505,24
IDDP-77232967,765,10
IDDP-77232967,211,3
IDDP-77232967,643,38
IDDP-77232967,395,2
IDDP-77232967,519,16
IDDP-77232967,215,20
IDDP-77232967,1642,44
MSOF-39093030,1334,40
MSOF-39093030,622,30
MSOF-39093030,1378,40
MSOF-39093030,607,14
MSOF-39093030,486,12
MSOF-39093030,415,32
MSOF-39093030,805,18
MSOF-39093030,447,21
MSOF-39093030,274,42
MSOF-39093030,1117,3
MSOF-39093030,1616,6
MSOF-39093030,1507,10
MSOF-39093030,10,28
MSOF-39093030,1184,16
MSOF-39093030,521,9
MSOF-39093030,870,18
MSOF-39093030,1075,28
MSOF-39093030,226,4
MSOF-39093030,1586,10
MSOF-39093030,237,9
HQLI-97845760,593,11
HQLI-97845760,269,16
HQLI-97845760,1535,4
HQLI-97845760,906,8
HQLI-97845760,1298,5
HQLI-97845760,1225,3
HQLI-97845760,487,6
HQLI-97845760,1548,7
